CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.25       0.25       0.25
depend                 0.11       0.00       0.00       0.00
depend-int             0.00       0.04       0.04       0.04
depend-fp              0.00       0.15       0.15       0.15
depend-branch          0.00       0.01       0.01       0.01
issue-port2            0.00       0.02       0.02       0.02
issue-port015          0.00       0.01       0.01       0.01
branch                 0.23       0.08       0.07       0.07
ifetch                 0.15       0.00       0.00       0.00
mem-l1d                0.00       0.06       0.06       0.06
mem-dram               0.59       0.00       0.00       0.00
sync-futex             9.11       0.00       0.00       0.00
imbalance-start        0.00       0.11       0.11       0.09
imbalance-end          0.00       0.12       0.13       0.00
other                  0.08       0.01       0.01       0.01

total                 10.52       0.86       0.87       0.72
