CPI                  Core 0     Core 1     Core 2     Core 3     Core 4     Core 5     Core 6     Core 7     Core 8     Core 9     Core 10    Core 11    Core 12    Core 13    Core 14    Core 15  
base                   0.25       0.25       0.25       0.25       0.25       0.25       0.25       0.25       0.25       0.00       0.00       0.00       0.00       0.00       0.00       0.00
depend-int             0.00       0.07       0.07       0.07       0.07       0.07       0.07       0.07       0.07       0.00       0.00       0.00       0.00       0.00       0.00       0.00
depend-fp              0.00       0.15       0.15       0.15       0.15       0.15       0.15       0.15       0.15       0.00       0.00       0.00       0.00       0.00       0.00       0.00
depend-branch          0.00       0.02       0.02       0.02       0.02       0.02       0.02       0.02       0.02       0.00       0.00       0.00       0.00       0.00       0.00       0.00
issue-port2            0.00       0.01       0.01       0.01       0.01       0.01       0.01       0.01       0.01       0.00       0.00       0.00       0.00       0.00       0.00       0.00
issue-port5            0.00       0.02       0.02       0.02       0.02       0.02       0.02       0.02       0.02       0.00       0.00       0.00       0.00       0.00       0.00       0.00
issue-port015          0.00       0.01       0.01       0.01       0.01       0.01       0.01       0.01       0.01       0.00       0.00       0.00       0.00       0.00       0.00       0.00
branch                 0.24       0.10       0.10       0.10       0.10       0.10       0.10       0.10       0.10       0.00       0.00       0.00       0.00       0.00       0.00       0.00
mem-l1d                0.00       0.06       0.06       0.06       0.06       0.06       0.06       0.06       0.06       0.00       0.00       0.00       0.00       0.00       0.00       0.00
mem-dram               0.66       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
sync-futex            20.78       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
imbalance-start        0.00       0.05       0.05       0.05       0.05       0.05       0.05       0.05       0.05       0.00       0.00       0.00       0.00       0.00       0.00       0.00
imbalance-end          0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00   52973304.00   52973304.00   52973304.00   52973304.00   52973304.00   52973304.00   52973304.00
other                  0.30       0.02       0.02       0.02       0.02       0.02       0.02       0.02       0.02       0.00       0.00       0.00       0.00       0.00       0.00       0.00

total                 22.22       0.76       0.76       0.76       0.76       0.76       0.76       0.76       0.76   52973304.00   52973304.00   52973304.00   52973304.00   52973304.00   52973304.00   52973304.00
