CPI                  Core 0     Core 1     Core 2     Core 3   
base                   1.15       1.82       1.81       0.00
depend-int             0.07       0.08       0.08       0.00
depend-fp              0.00       0.37       0.37       0.00
depend-branch          0.07       0.00       0.00       0.00
branch                 0.82       0.30       0.29       0.00
mem-l1d                0.13       0.05       0.05       0.00
sync-futex             4.84       0.00       0.00       0.00
sync-unscheduled        0.00       0.99       0.99       0.00
imbalance-end          0.00       0.28       0.31   356846888.00
other                  0.07       0.03       0.03    8000.00

total                  7.16       3.91       3.91   356854888.00
