CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.25       0.25       0.25
depend-int             0.00       0.06       0.06       0.00
depend-fp              0.04       0.09       0.09       0.00
depend-branch          0.00       0.01       0.01       0.00
issue-port015          0.00       0.01       0.01       0.00
branch                 0.04       0.05       0.05       0.00
ifetch                 0.00       0.02       0.02       0.00
mem                    0.08       0.00       0.00       0.00
mem-l1d                0.00       0.05       0.05       0.00
mem-l2                 0.00       0.01       0.01       0.00
mem-l3                 0.00       0.02       0.02       0.00
sync-futex             3.63       0.10       0.10       0.00
imbalance-start        0.00       0.00       0.00       0.17
imbalance-end          0.00       0.00       0.00      15.71
other                  0.08       0.02       0.02       0.19

total                  4.12       0.68       0.68      16.32
