CPI                  Core 0     Core 1     Core 2     Core 3     Core 4     Core 5     Core 6     Core 7     Core 8     Core 9     Core 10    Core 11    Core 12    Core 13    Core 14    Core 15  
base                   0.25       0.25       0.25       0.25       0.25       0.25       0.25       0.25       0.25       0.25       0.00       0.00       0.00       0.00       0.00       0.00
depend-int             0.03       0.07       0.07       0.07       0.07       0.07       0.07       0.07       0.07       0.00       0.00       0.00       0.00       0.00       0.00       0.00
depend-fp              0.04       0.12       0.12       0.12       0.12       0.12       0.12       0.12       0.12       0.00       0.00       0.00       0.00       0.00       0.00       0.00
issue                  0.00       0.02       0.02       0.02       0.02       0.02       0.02       0.02       0.02       0.00       0.00       0.00       0.00       0.00       0.00       0.00
issue-port1            0.02       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
branch                 0.05       0.06       0.06       0.06       0.06       0.06       0.06       0.06       0.06       0.00       0.00       0.00       0.00       0.00       0.00       0.00
ifetch                 0.00       0.04       0.04       0.04       0.04       0.04       0.04       0.04       0.04       0.00       0.00       0.00       0.00       0.00       0.00       0.00
mem-l1d                0.00       0.05       0.05       0.05       0.05       0.05       0.05       0.05       0.05       0.00       0.00       0.00       0.00       0.00       0.00       0.00
mem-dram               0.19       0.09       0.09       0.09       0.08       0.09       0.09       0.09       0.09       0.20       0.00       0.00       0.00       0.00       0.00       0.00
sync-futex             1.25       0.53       0.53       0.54       0.52       0.53       0.54       0.51       0.52       0.00       0.00       0.00       0.00       0.00       0.00       0.00
imbalance-start        0.00       0.02       0.02       0.02       0.02       0.02       0.02       0.02       0.02       0.16       0.00       0.00       0.00       0.00       0.00       0.00
imbalance-end          0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       6.59   183786478.86   183786478.86   183786478.86   183786478.86   183786478.86   183786478.86
other                  0.04       0.03       0.03       0.03       0.03       0.03       0.03       0.03       0.03       0.13       0.00       0.00       0.00       0.00       0.00       0.00

total                  1.87       1.28       1.29       1.29       1.27       1.29       1.30       1.26       1.27       7.32   183786478.86   183786478.86   183786478.86   183786478.86   183786478.86   183786478.86
